2020-09-03-16-14-17
System.Windows.Forms.TextBox, Text: 3000
X156025
X156026
X156027
X156028
X147484
X155894
-
-
X155895
X155976
X155978
X147483
X155979
-
-
-
X156024
A41485
A41485
A41485
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
17: 83
1: 93,4
2: 77,2125
3: 78,2
4: 80,2
5: 58,7 293,633
6: 99,4
9: 76,925
10: 79,7
11: 83,7
12: 62,0875 292,907
13: 88,5
17: 83,1
1: 93,5
2: 77,3
3: 78,3
4: 80,3
5: 58,7 293,633
6: 99,5
9: 77
10: 79,8
11: 83,80625
12: 62,13125 292,677
13: 88,6
17: 83,2
1: 93,6
2: 77,4
3: 78,4
4: 80,4
5: 58,8 293,073
6: 99,6
9: 77,1
10: 79,9
11: 83,9
12: 62,2 292,318
13: 88,69375
17: 83,2
1: 93,7
2: 77,41875
3: 78,40625
4: 80,475
5: 58,89375 292,55
6: 99,70625
9: 77,175
10: 80
11: 84
12: 62,2375 292,122
13: 88,8
17: 83,30625
1: 93,8
2: 77,5375
3: 78,5
4: 80,54375
5: 58,9 292,515
6: 99,8
9: 77,2625
10: 80,05
11: 84,1
12: 62,3 291,797
13: 88,9
17: 83,4
1: 93,9
2: 77,6
3: 78,6
4: 80,60625
5: 59 291,96
6: 99,9125
9: 77,30625
10: 80,1
11: 84,1875
12: 62,4 291,277
13: 88,96875
17: 83,4875
1: 94
2: 77,7
3: 78,7
4: 80,7
5: 59,0625 291,613
6: 100
9: 77,4
10: 80,2
11: 84,225
12: 62,41875 291,18
13: 89
17: 83,575
1: 94,1
2: 77,75625
3: 78,7125
4: 80,8
5: 59,1 291,406
6: 100,1
9: 77,5
10: 80,275
11: 84,3
12: 62,5 290,76
13: 89,1
17: 83,61875
1: 94,2
2: 77,8
3: 78,8
4: 80,89375
5: 59,2 290,855
6: 100,20625
9: 77,5625
10: 80,375
11: 84,4
12: 62,6 290,245
13: 89,2
17: 83,7
1: 94,2875
2: 77,9
3: 78,9
4: 80,9
5: 59,2 290,855
6: 100,3
9: 77,6
10: 80,4
11: 84,5
12: 62,6 290,245
13: 89,3
17: 83,8
1: 94,39375
2: 77,9875
3: 79
4: 81
5: 59,3 290,306
6: 100,4
9: 77,7
10: 80,5
11: 84,59375
12: 62,7 289,731
13: 89,4
17: 83,9
1: 94,4625
2: 78,0375
3: 79,00625
4: 81,1
5: 59,36875 289,93
6: 100,5375
9: 77,8
10: 80,6
11: 84,7
12: 62,79375 289,252
13: 89,5
17: 84
1: 94,59375
2: 78,10625
3: 79,1
4: 81,2
5: 59,4 289,759
6: 100,64375
9: 77,8875
10: 80,6125
11: 84,74375
12: 62,8 289,22
13: 89,6
17: 84,075
1: 94,68125
2: 78,2
3: 79,2
4: 81,20625
5: 59,4875 289,282
6: 100,7125
9: 77,9
10: 80,7
11: 84,81875
12: 62,9 288,71
13: 89,61875
17: 84,10625
1: 94,71875
2: 78,29375
3: 79,3
4: 81,3
5: 59,5125 289,146
6: 100,825
9: 78
10: 80,8
11: 84,9
12: 62,975 288,329
13: 89,7625
17: 84,20625
1: 94,89375
2: 78,39375
3: 79,39375
4: 81,4
5: 59,6 288,672
6: 100,93125
9: 78,1
10: 80,9
11: 85
12: 63 288,202
13: 89,81875
17: 84,3
1: 94,9625
2: 78,4125
3: 79,4
4: 81,49375
5: 59,6125 288,604
6: 101,0375
9: 78,2
10: 80,9625
11: 85,1
12: 63,1 287,696
13: 89,9
17: 84,4
1: 95,01875
2: 78,5
3: 79,5
4: 81,6
5: 59,7 288,131
6: 101,2
9: 78,2375
10: 81
11: 85,2
12: 63,1 287,696
13: 90
17: 84,49375
1: 95,14375
2: 78,6
3: 79,6
4: 81,68125
5: 59,7625 287,794
6: 101,3
9: 78,3
10: 81,1
11: 85,29375
12: 63,2 287,191
13: 90,1
17: 84,55625
1: 95,2
2: 78,6875
3: 79,6625
4: 81,7
5: 59,8 287,592
6: 101,35625
9: 78,39375
10: 81,19375
11: 85,3
12: 63,2 287,191
13: 90,19375
17: 84,6
1: 95,3
2: 78,7
3: 79,70625
4: 81,8
5: 59,875 287,19
6: 101,49375
9: 78,45625
10: 81,25
11: 85,4
12: 63,3 286,689
13: 90,25625
17: 84,7
1: 95,4
2: 78,8
3: 79,8
4: 81,8875
5: 59,9 287,056
6: 101,55625
9: 78,5
10: 81,3
11: 85,5
12: 63,35 286,438
13: 90,3
17: 84,79375
1: 95,5
2: 78,88125
3: 79,9
4: 81,9375
5: 59,98125 286,621
6: 101,7
9: 78,6
10: 81,4
11: 85,59375
12: 63,4 286,188
13: 90,4
17: 84,8125
1: 95,6
2: 78,90625
3: 79,93125
4: 82
5: 60 286,521
6: 101,7625
9: 78,65
10: 81,46875
11: 85,6
12: 63,4875 285,751
13: 90,5
17: 84,9
1: 95,7
2: 79
3: 80
4: 82,1
5: 60,1 285,989
6: 101,8875
9: 78,7
10: 81,5375
11: 85,7
12: 63,50625 285,658
13: 90,6
17: 85
1: 95,8
2: 79,1
3: 80,1
4: 82,2
5: 60,1125 285,922
6: 101,9875
